Year,Round,Pick,Pick,Name,TEAM,Position,School,Seasons Played
2013,1,27,27,DeAndre Hopkins,TEXANS,WR,Clemson,
2013,1,28,28,Sylvester Williams,BRONCOS,DT,North Carolina,
2013,1,29,29,Cordarrelle Patterson,VIKINGS,WR,Tennessee,
2013,1,30,30,Alec Ogletree,RAMS,LB,Georgia,
2013,1,31,31,Travis Frederick,COWBOYS, C,Wisconsin,
2013,1,32,32,Matt Elam,RAVENS,DB,Florida,
2014,1,1,1,Jadeveon Clowney,TEXANS,DE,South Carolina,
2014,1,2,2,Greg Robinson,RAMS, T,Auburn,
2014,1,3,3,Blake Bortles,JAGUARS,QB,Central Florida,
2014,1,4,4,Sammy Watkins,BILLS,WR,Clemson,
2014,1,5,5,Khalil Mack,RAIDERS,LB,Buffalo,
2014,1,6,6,Jake Matthews,FALCONS, T,Texas A&M,
2014,1,7,7,Mike Evans,BUCCANEERS,WR,Texas A&M,
2014,1,8,8,Justin Gilbert,BROWNS,DB,Oklahoma State,
2014,1,9,9,Anthony Barr,VIKINGS,LB,UCLA,
2014,1,10,10,Eric Ebron,LIONS,TE,North Carolina,
2014,1,11,11,Taylor Lewan,TITANS, T,Michigan,
2014,1,12,12,Odell Beckham,GIANTS,WR,Louisiana State,
2014,1,13,13,Aaron Donald,RAMS,DT,Pittsburgh,
2014,1,14,14,Kyle Fuller,BEARS,DB,Virginia Tech,
2014,1,15,15,Ryan Shazier,STEELERS,LB,Ohio State,
2014,1,16,16,Zack Martin,COWBOYS, T,Notre Dame,
2014,1,17,17,C.J. Mosley,RAVENS,LB,Alabama,
2014,1,18,18,Calvin Pryor,JETS,DB,Louisville,
2014,1,19,19,Ja\'Wuan James,DOLPHINS, T,Tennessee,
2014,1,20,20,Brandin Cooks,SAINTS,WR,Oregon State,
2014,1,21,21,Ha Ha Clinton-Dix,PACKERS,DB,Alabama,
2014,1,22,22,Johnny Manziel,BROWNS,QB,Texas A&M,
2014,1,23,23,Dee Ford,CHIEFS,DE,Auburn,
2014,1,24,24,Darqueze Dennard,BENGALS,DB,Michigan State,
2014,1,25,25,Jason Verrett,CHARGERS,DB,Texas Christian,
2014,1,26,26,Marcus Smith,EAGLES,DE,Louisville,
2014,1,27,27,Deone Bucannon,CARDINALS,DB,Washington State,
2014,1,28,28,Kelvin Benjamin,PANTHERS,WR,Florida State,
2014,1,29,29,Dominique Easley,PATRIOTS,DT,Florida,
2014,1,30,30,Jimmie Ward,49ERS,DB,Northern Illinois,
2014,1,31,31,Bradley Roby,BRONCOS,DB,Ohio State,
2014,1,32,32,Teddy Bridgewater,VIKINGS,QB,Louisville,
2015,1,1,1,Jameis Winston,BUCCANEERS,QB,Florida State,
2015,1,2,2,Marcus Mariota,TITANS,QB,Oregon,
2015,1,3,3,Dante Fowler,JAGUARS,LB,Florida,
2015,1,4,4,Amari Cooper,RAIDERS,WR,Alabama,
2015,1,5,5,Brandon Scherff,TEAM, G,Iowa,
2015,1,6,6,Leonard Williams,JETS,DE,USC,
2015,1,7,7,Kevin White,BEARS,WR,West Virginia,
2015,1,8,8,Vic Beasley,FALCONS,LB,Clemson,
2015,1,9,9,Ereck Flowers,GIANTS, G,Miami (FL),
2015,1,10,10,Todd Gurley,RAMS,RB,Georgia,
2015,1,11,11,Trae Waynes,VIKINGS,DB,Michigan State,
2015,1,12,12,Danny Shelton,BROWNS,DT,Washington,
2015,1,13,13,Andrus Peat,SAINTS, T,Stanford,
2015,1,14,14,DeVante Parker,DOLPHINS,WR,Louisville,
2015,1,15,15,Melvin Gordon,CHARGERS,RB,Wisconsin,
2015,1,16,16,Kevin Johnson,TEXANS,DB,Wake Forest,
2015,1,17,17,Arik Armstead,49ERS,DT,Oregon,
2015,1,18,18,Marcus Peters,CHIEFS,DB,Washington,
2015,1,19,19,Cameron Erving,BROWNS, C,Florida State,
2015,1,20,20,Nelson Agholor,EAGLES,WR,USC,
2015,1,21,21,Cedric Ogbuehi,BENGALS, T,Texas A&M,
2015,1,22,22,Bud Dupree,STEELERS,LB,Kentucky,
2015,1,23,23,Shane Ray,BRONCOS,DE,Missouri,
2015,1,24,24,D.J. Humphries,CARDINALS, T,Florida,
2015,1,25,25,Shaq Thompson,PANTHERS,LB,Washington,
2015,1,26,26,Breshad Perriman,RAVENS,WR,Central Florida,
2015,1,27,27,Byron Jones,COWBOYS,DB,Connecticut,
2015,1,28,28,Laken Tomlinson,LIONS, G,Duke,
2015,1,29,29,Phillip Dorsett,COLTS,WR,Miami (FL),
2015,1,30,30,Damarious Randall,PACKERS,DB,Arizona State,
2015,1,31,31,Stephone Anthony,SAINTS,LB,Clemson,
2015,1,32,32,Malcom Brown,PATRIOTS,DT,Texas,
2016,1,1,1,Jared Goff,RAMS,QB,California,
2016,1,2,2,Carson Wentz,EAGLES,QB,North Dakota State,
2016,1,3,3,Joey Bosa,CHARGERS,DE,Ohio State,
2016,1,4,4,Ezekiel Elliott,COWBOYS,RB,Ohio State,
2016,1,5,5,Jalen Ramsey,JAGUARS,DB,Florida State,
2016,1,6,6,Ronnie Stanley,RAVENS, T,Notre Dame,
2016,1,7,7,DeForest Buckner,49ERS,DE,Oregon,
2016,1,8,8,Jack Conklin,TITANS, T,Michigan State,
2016,1,9,9,Leonard Floyd,BEARS,LB,Georgia,
2016,1,10,10,Eli Apple,GIANTS,DB,Ohio State,
2016,1,11,11,Vernon Hargreaves,BUCCANEERS,DB,Florida,
2016,1,12,12,Sheldon Rankins,SAINTS,DT,Louisville,
2016,1,13,13,Laremy Tunsil,DOLPHINS, T,Mississippi,
2016,1,14,14,Karl Joseph,RAIDERS,DB,West Virginia,
2016,1,15,15,Corey Coleman,BROWNS,WR,Baylor,
2016,1,16,16,Taylor Decker,LIONS, T,Ohio State,
2016,1,17,17,Keanu Neal,FALCONS,DB,Florida,
2016,1,18,18,Ryan Kelly,COLTS, C,Alabama,
2016,1,19,19,Shaq Lawson,BILLS,DE,Clemson,
2016,1,20,20,Darron Lee,JETS,LB,Ohio State,
2016,1,21,21,Will Fuller,TEXANS,WR,Notre Dame,
2016,1,22,22,Josh Doctson,TEAM,WR,Texas Christian,
2016,1,23,23,Laquon Treadwell,VIKINGS,WR,Mississippi,
2016,1,24,24,William Jackson ,BENGALS,DB,Houston,
2016,1,25,25,Artie Burns,STEELERS,DB,Miami (FL),
2016,1,26,26,Paxton Lynch,BRONCOS,QB,Memphis,
2016,1,27,27,Kenny Clark,PACKERS,DT,UCLA,
2016,1,28,28,Joshua Garnett,49ERS, G,Stanford,
2016,1,29,29,Robert Nkemdiche,CARDINALS,DT,Mississippi,
2016,1,30,30,Vernon Butler,PANTHERS,DT,Louisiana Tech,
2016,1,31,31,Germain Ifedi,SEAHAWKS, G,Texas A&M,
2017,1,1,1,Myles Garrett,BROWNS,DE,Texas A&M,
2017,1,2,2,Mitchell Trubisky,BEARS,QB,North Carolina,
2017,1,3,3,Solomon Thomas,49ERS,DE,Stanford,
2017,1,4,4,Leonard Fournette,JAGUARS,RB,Louisiana State,
2017,1,5,5,Corey Davis,TITANS,WR,Western Michigan,
2017,1,6,6,Jamal Adams,JETS,DB,Louisiana State,
2017,1,7,7,Mike Williams,CHARGERS,WR,Clemson,
2017,1,8,8,Christian McCaffrey,PANTHERS,RB,Stanford,
2017,1,9,9,John Ross,BENGALS,WR,Washington,
2017,1,10,10,Patrick Mahomes,CHIEFS,QB,Texas Tech,
2017,1,11,11,Marshon Lattimore,SAINTS,DB,Ohio State,
2017,1,12,12,Deshaun Watson,TEXANS,QB,Clemson,
2017,1,13,13,Haason Reddick,CARDINALS,LB,Temple,
2017,1,14,14,Derek Barnett,EAGLES,DE,Tennessee,
2017,1,15,15,Malik Hooker,COLTS,DB,Ohio State,
2017,1,16,16,Marlon Humphrey,RAVENS,DB,Alabama,
2017,1,17,17,Jonathan Allen,TEAM,DE,Alabama,
2017,1,18,18,Adoree\' Jackson,TITANS,DB,USC,
2017,1,19,19,O.J. Howard,BUCCANEERS,TE,Alabama,
2017,1,20,20,Garett Bolles,BRONCOS, T,Utah,
2017,1,21,21,Jarrad Davis,LIONS,LB,Florida,
2017,1,22,22,Charles Harris,DOLPHINS,LB,Missouri,
2017,1,23,23,Evan Engram,GIANTS,TE,Mississippi,
2017,1,24,24,Gareon Conley,RAIDERS,DB,Ohio State,
2017,1,25,25,Jabrill Peppers,BROWNS,DB,Michigan,
2017,1,26,26,Takkarist McKinley,FALCONS,DE,UCLA,
2017,1,27,27,Tre\'Davious White,BILLS,DB,Louisiana State,
2017,1,28,28,Taco Charlton,COWBOYS,DE,Michigan,
2017,1,29,29,David Njoku,BROWNS,TE,Miami (FL),
2017,1,30,30,T.J. Watt,STEELERS,LB,Wisconsin,
2017,1,31,31,Reuben Foster,49ERS,LB,Alabama,
2017,1,32,32,Ryan Ramczyk,SAINTS, T,Wisconsin,
2018,1,1,1,Baker Mayfield,BROWNS,QB,Oklahoma,
2018,1,2,2,Saquon Barkley,GIANTS,RB,Penn State,
2018,1,3,3,Sam Darnold,JETS,QB,USC,
2018,1,4,4,Denzel Ward,BROWNS,DB,Ohio State,
2018,1,5,5,Bradley Chubb,BRONCOS,DE,North Carolina State,
2018,1,6,6,Quenton Nelson,COLTS, G,Notre Dame,
2018,1,7,7,Josh Allen,BILLS,QB,Wyoming,
2018,1,8,8,Roquan Smith,BEARS,LB,Georgia,
2018,1,9,9,Mike McGlinchey,49ERS, T,Notre Dame,
2018,1,10,10,Josh Rosen,CARDINALS,QB,UCLA,
2018,1,11,11,Minkah Fitzpatrick,DOLPHINS,DB,Alabama,
2018,1,12,12,Vita Vea,BUCCANEERS,DT,Washington,
2018,1,13,13,Da\'Ron Payne,TEAM,DT,Alabama,
2018,1,14,14,Marcus Davenport,SAINTS,DE,Texas-San Antonio,
2018,1,15,15,Kolton Miller,RAIDERS, T,UCLA,
2018,1,16,16,Tremaine Edmunds,BILLS,LB,Virginia Tech,
2018,1,17,17,Derwin James,CHARGERS,DB,Florida State,
2018,1,18,18,Jaire Alexander,PACKERS,DB,Louisville,
2018,1,19,19,Leighton Vander Esch,COWBOYS,LB,Boise State,
2018,1,20,20,Frank Ragnow,LIONS, C,Arkansas,
2018,1,21,21,Billy Price,BENGALS, C,Ohio State,
2018,1,22,22,Rashaan Evans,TITANS,LB,Alabama,
2018,1,23,23,Isaiah Wynn,PATRIOTS, G,Georgia,
2018,1,24,24,D.J. Moore,PANTHERS,WR,Maryland,
2018,1,25,25,Hayden Hurst,RAVENS,TE,South Carolina,
2018,1,26,26,Calvin Ridley,FALCONS,WR,Alabama,
2018,1,27,27,Rashaad Penny,SEAHAWKS,RB,San Diego State,
2018,1,28,28,Terrell Edmunds,STEELERS,DB,Virginia Tech,
2018,1,29,29,Taven Bryan,JAGUARS,DT,Florida,
2018,1,30,30,Mike Hughes,VIKINGS,DB,Central Florida,
2018,1,31,31,Sony Michel,PATRIOTS,RB,Georgia,
2018,1,32,32,Lamar Jackson,RAVENS,QB,Louisville,
2019,1,1,1,Kyler Murray,CARDINALS,QB,Oklahoma,
2019,1,2,2,Nick Bosa,49ERS,DE,Ohio State,
2019,1,3,3,Quinnen Williams,JETS,DT,Alabama,
2019,1,4,4,Clelin Ferrell,RAIDERS,DE,Clemson,
2019,1,5,5,Devin White,BUCCANEERS,LB,Louisiana State,
2019,1,6,6,Daniel Jones,GIANTS,QB,Duke,
2019,1,7,7,Josh Allen,JAGUARS,LB,Kentucky,
2019,1,8,8,T.J. Hockenson,LIONS,TE,Iowa,
2019,1,9,9,Ed Oliver,BILLS,DT,Houston,
2019,1,10,10,Devin Bush,STEELERS,LB,Michigan,
2019,1,11,11,Jonah Williams,BENGALS, T,Alabama,
2019,1,12,12,Rashan Gary,PACKERS,DE,Michigan,
2019,1,13,13,Christian Wilkins,DOLPHINS,DT,Clemson,
2019,1,14,14,Chris Lindstrom,FALCONS, G,Boston College,
2019,1,15,15,Dwayne Haskins,TEAM,QB,Ohio State,
2019,1,16,16,Brian Burns,PANTHERS,LB,Florida State,
2019,1,17,17,Dexter Lawrence,GIANTS,DT,Clemson,
2019,1,18,18,Garrett Bradbury,VIKINGS, C,North Carolina State,
2019,1,19,19,Jeffery Simmons,TITANS,DT,Mississippi State,
2019,1,20,20,Noah Fant,BRONCOS,TE,Iowa,
2019,1,21,21,Darnell Savage,PACKERS,DB,Maryland,
2019,1,22,22,Andre Dillard,EAGLES, T,Washington State,
2019,1,23,23,Tytus Howard,TEXANS, T,Alabama State,
2019,1,24,24,Josh Jacobs,RAIDERS,RB,Alabama,
2019,1,25,25,Marquise Brown,RAVENS,WR,Oklahoma,
2019,1,26,26,Montez Sweat,TEAM,DE,Mississippi State,
2019,1,27,27,Johnathan Abram,RAIDERS,DB,Mississippi State,
2019,1,28,28,Jerry Tillery,CHARGERS,DT,Notre Dame,
2019,1,29,29,L.J. Collier,SEAHAWKS,DE,Texas Christian,
2019,1,30,30,Deandre Baker,GIANTS,DB,Georgia,
2019,1,31,31,Kaleb McGary,FALCONS, T,Washington,
2019,1,32,32,N\'Keal Harry,PATRIOTS,WR,Arizona State,
2020,1,1,1,Joe Burrow,BENGALS,QB,Louisiana State,
2020,1,2,2,Chase Young,TEAM,DE,Ohio State,
2020,1,3,3,Jeff Okudah,LIONS,DB,Ohio State,
2020,1,4,4,Andrew Thomas,GIANTS, T,Georgia,
2020,1,5,5,Tua Tagovailoa,DOLPHINS,QB,Alabama,
2020,1,6,6,Justin Herbert,CHARGERS,QB,Oregon,
2020,1,7,7,Derrick Brown,PANTHERS,DT,Auburn,
2020,1,8,8,Isaiah Simmons,CARDINALS,LB,Clemson,
2020,1,9,9,CJ Henderson,JAGUARS,DB,Florida,
2020,1,10,10,Jedrick Wills,BROWNS, T,Alabama,
2020,1,11,11,Mekhi Becton,JETS, T,Louisville,
2020,1,12,12,Henry Ruggs,RAIDERS,WR,Alabama,
2020,1,13,13,Tristan Wirfs,BUCCANEERS, T,Iowa,
2020,1,14,14,Javon Kinlaw,49ERS,DT,South Carolina,
2020,1,15,15,Jerry Jeudy,BRONCOS,WR,Alabama,
2020,1,16,16,A.J. Terrell,FALCONS,DB,Clemson,
2020,1,17,17,CeeDee Lamb,COWBOYS,WR,Oklahoma,
2020,1,18,18,Austin Jackson,DOLPHINS, T,USC,
2020,1,19,19,Damon Arnette,RAIDERS,DB,Ohio State,
2020,1,20,20,K\'Lavon Chaisson,JAGUARS,DE,Louisiana State,
2020,1,21,21,Jalen Reagor,EAGLES,WR,Texas Christian,
2020,1,22,22,Justin Jefferson,VIKINGS,WR,Louisiana State,
2020,1,23,23,Kenneth Murray,CHARGERS,LB,Oklahoma,
2020,1,24,24,Cesar Ruiz,SAINTS, C,Michigan,
2020,1,25,25,Brandon Aiyuk,49ERS,WR,Arizona State,
2020,1,26,26,Jordan Love,PACKERS,QB,Utah State,
2020,1,27,27,Jordyn Brooks,SEAHAWKS,LB,Texas Tech,
2020,1,28,28,Patrick Queen,RAVENS,LB,Louisiana State,
2020,1,29,29,Isaiah Wilson,TITANS, T,Georgia,
2020,1,30,30,Noah Igbinoghene,DOLPHINS,DB,Auburn,
2020,1,31,31,Jeff Gladney,VIKINGS,DB,Texas Christian,
2020,1,32,32,Clyde Edwards-Helaire,CHIEFS,RB,Louisiana State,
2021,1,1,1,Trevor Lawrence,JAGUARS,QB,Clemson,
2021,1,2,2,Zach Wilson,JETS,QB,Brigham Young,
2021,1,3,3,Trey Lance,49ERS,QB,North Dakota State,
2021,1,4,4,Kyle Pitts,FALCONS,TE,Florida,
2021,1,5,5,Ja\'Marr Chase,BENGALS,WR,Louisiana State,
2021,1,6,6,Jaylen Waddle,DOLPHINS,WR,Alabama,
2021,1,7,7,Penei Sewell,LIONS, T,Oregon,
2021,1,8,8,Jaycee Horn,PANTHERS,DB,South Carolina,
2021,1,9,9,Patrick Surtain,BRONCOS,DB,Alabama,
2021,1,10,10,DeVonta Smith,EAGLES,WR,Alabama,
2021,1,11,11,Justin Fields,BEARS,QB,Ohio State,
2021,1,12,12,Micah Parsons,COWBOYS,LB,Penn State,
2021,1,13,13,Rashawn Slater,CHARGERS, G,Northwestern,
2021,1,14,14,Alijah Vera-Tucker,JETS, G,USC,
2021,1,15,15,Mac Jones,PATRIOTS,QB,Alabama,
2021,1,16,16,Zaven Collins,CARDINALS,LB,Tulsa,
2021,1,17,17,Alex Leatherwood,RAIDERS, T,Alabama,
2021,1,18,18,Jaelan Phillips,DOLPHINS,DE,Miami (FL),
2021,1,19,19,Jamin Davis,TEAM,LB,Kentucky,
2021,1,20,20,Kadarius Toney,GIANTS,WR,Florida,
2021,1,21,21,Kwity Paye,COLTS,DE,Michigan,
2021,1,22,22,Caleb Farley,TITANS,DB,Virginia Tech,
2021,1,23,23,Christian Darrisaw,VIKINGS, T,Virginia Tech,
2021,1,24,24,Najee Harris,STEELERS,RB,Alabama,
2021,1,25,25,Travis Etienne,JAGUARS,RB,Clemson,
2021,1,26,26,Greg Newsome,BROWNS,DB,Northwestern,
2021,1,27,27,Rashod Bateman,RAVENS,WR,Minnesota,
2021,1,28,28,Payton Turner,SAINTS,DE,Houston,
2021,1,29,29,Eric Stokes,PACKERS,DB,Georgia,
2021,1,30,30,Gregory Rousseau,BILLS,DE,Miami (FL),
2021,1,31,31,Jayson Oweh,RAVENS,LB,Penn State,
2021,1,32,32,Joe Tryon,BUCCANEERS,LB,Washington,
